,AirlineName,CabinType,DateFlown,DatePub,EntertainmentRating,FoodRating,GroundServiceRating,OriginCountry,OverallScore,Recommended,Review,SeatComfortRating,ServiceRating,Slug,Title,TravelType,TripVerified,ValueRating,WifiRating,unique_id,Aircraft Manufacturer,Route_Departure,Route_Destination,Review_score_nltk,Review_score_flair,Review_score
105663,Swoop,Economy Class,2023-12-31,2023-04-03,1,1,1,Canada,1.0,no,"As usual, Swoop can't count. Its either a mad rush to check in at the gate with no controls or, today they loaded the complete plane and the last people on were Zone 1. I choose Zone 1 and pay extra for it because of a handicap. I don't need to load first as I don't want to take away from people worse off then me. I thought if I paid for zone 1 I would be okay. Get training for the imbeciles at the gate! No more Swoop for me",1,1,swoop,No more Swoop for me,Business,Trip Verified,1,1,b85c0cce-2513-4068-aad9-6d83e4922dd9,Airbus,Abbotsford,Edmonton,0,0,0
105670,Swoop,Economy Class,2023-12-31,2023-03-25,0,2,2,Canada,2.0,no,Our flight was delayed by approximately 4 hours. I have tried to contact them to be compensated for this and I have heard nothing back from them. They had already delayed the flight by almost an hour 4 hours prior to departure time and then delayed it again shortly before that departure time. By the time we left people had been waiting so long that some were escorted off the flight for inebriation. Communication is non existent. I realize it’s a budget airline but this is unacceptable,3,2,swoop,Communication is non existent,Business,Trip Verified,2,0,420d376f-1a6d-41ac-905a-b05cbd344dcd,Boeing,Edmonton,Hamilton,0,0,0
105671,Swoop,Economy Class,2023-12-31,2023-03-25,1,1,1,Canada,1.0,no,"It has been over 30 days since Swoop lost my luggage. I filed a report at the airport, sent multiple emails, tried calling their customer service (which is just an automated voice that tells you to email them then hangs up the call) and there is still no response. Such terrible customer service. This was my first flight with Swoop and I will never make that mistake again. It is a scam of an airline and needs to be shutdown",2,1,swoop,Such terrible customer service,Couple Leisure,Trip Verified,1,1,c5205fb4-6455-4117-8fb7-0f5b419a35f0,Airbus,Veradero,Toronto,0,0,0
105672,Swoop,Economy Class,2023-12-31,2023-03-19,0,0,1,Canada,1.0,no,"When I thought that I had a bad experience with Sunwings there comes Swoop. We started our vacation on 13 Mar 2023 flight WO0638 to Cancun. We waited after we boarded more than one hour on board without knowing why we don't take off. It is true that the captain made an announcement , but in so low voice that was hard to understand. Asking the flight attendant why we don't proceed to take off she was annoyed, I guess, and said that the captain already mentioned that. I did not understand neither did my wife. Finally we got to Cancun late more than one hour but they ran out of Mexican immigration forms and we had to figure it out at our time expense, adding more time to be late in the resort. No complimentary anything was handed to us to compensate a bit all of this inconvenience. Now comes the part when we return from Cancun, 18 Mar 2023. Getting to the airport we noticed that our flight 641 has been delayed for more than 5 hours let alone the line up time for checking in. Please note that no email has been sent to us to let us know the flight is delayed. Then when we've got to the check in counter and we started to ask questions one of clerks took us on a side and issued us vouchers for the 3 of us worth 60$. and we were told to check in around 21:00 since the flight was delayed till after midnight. But no plausible explanation has been given to us. Checked out the hotel at noon, got to the airport around 16:00 the flight was at 20 minutes past midnight so more than 12 hours wasted because some clerk in Canada did not do its due diligence to send out an email. When we landed in Toronto we spent more than 20 minutes for the ground crew to attach the ramp, because they did not have personnel. To conclude we will never ever fly Swoop, and there is no word of lie here.",1,2,swoop,we will never ever fly Swoop,Family Leisure,Not Verified,1,0,a3b92b51-fb0c-4a2d-a618-211d75ca3fc9,Boeing,Toronto,Cancun,0,0,0
105673,Swoop,Economy Class,2023-12-31,2023-03-17,1,1,1,Canada,1.0,no,"I had such a bad experience, they let my kids seat alone without my parent, I had to beg them for me to seat with them. I would never recommend it, as well as we had 3 hours delays without informing us what happens",1,1,swoop,such a bad experience,Family Leisure,Trip Verified,1,1,4cdc12f5-05d5-44d6-8b91-2cde6cfbdd56,Boeing,London,Cancun,0,0,0
105674,Swoop,Economy Class,2023-12-31,2023-03-12,1,1,1,Canada,1.0,no,"This is the second time this year Swoop has caused flight cancellations disrupting important family events. It is impossible to contact Swoop to speak to a representative. My daughter bought a Swoop ticket from Toronto to Victoria for a reasonable price. She was flying out for our family reunion and her sisters milestone 50th birthday and was coming 4 days early to help us with all the plans. The day before she was to leave, Swoop cancelled, ""Due to Unscheduled Maintenance"", without the courtesy of a 24 hour notice. (Swoop sent a second email stating the reason for the cancellation was incorrect and then gave a second reason for the cancellation!) The flights Swoop offered to re-book were all a minimum of 9 1/2 hours as opposed to her original 5 hour direct flight. Swoop said she would also have to pay the fare difference at this very late notice. The only flight she could get to Victoria to make it on time for the family reunion, arrived late afternoon, on the day of the family gathering. She arrived here at 2:30 pm. As a result we had to scramble to do all the event planning which our daughter was going to take care of. My husband just had a knee replacement and I am working in my older years so this is a huge inconvenience and disruption for all of us. After the stress and disappointment, if you can imagine this, there was a second cancellation at 4pm Saturday. She was to leave at 8:00am the next morning with no possibility to re-book. In order to get to Victoria on Sunday, the day of the family celebration, she had to book a one way ticket with Air Canada and Lynx Air from Toronto to Victoria with a 2 1/2 hour stop over in Calgary for $800. The original Swoop flight was listed at $120. My daughter investigated her cancelled flight and discovered the Swoop flight was not cancelled but was ""fully booked"" (see screen shot). We believe that Swoop bumped her lower fare ticket in order to accommodate later higher priced tickets. This poor treatment has happened to many people. We've spoken to a large number of friends about Swoop's unprofessional business practices and now both a friend and another family member have just decided to cancel their Swoop tickets because they are afraid their plans will be ruined too.",1,1,swoop,a huge inconvenience,Solo Leisure,Trip Verified,1,1,f1f211ea-9021-4a8d-8a0d-8848fcf72866,Boeing,Toronto,Victoria,0,0,0
105677,Swoop,Economy Class,2023-12-31,2023-03-11,0,0,1,Canada,2.0,no,"NEVER AGAIN! Second time flying Swoop and second time with massive delays and unknowns. We’re currently stuck in Puerto Vallarta, didn’t have an update about any delays prior to getting through security and to the gate. Now been three hours and no communication what’s going on. We’re travelling with two kids under 6. We just want to get home. We’ll 100% never fly Swoop again. For the record, we didn’t fly Swoop with intention to save money, it was just the provider that was included with the vacation package booked. We flew WestJet down.",2,1,swoop,massive delays and unknowns,Family Leisure,Trip Verified,2,0,911480b1-1f65-4eed-8cae-5864d5a27bb8,Boeing,Puerto Vallarta,Edmonton,1,0,0
105678,Swoop,Economy Class,2023-12-31,2023-03-10,0,0,1,Canada,1.0,no,"In 28 of February, I and my wife and my little son went to Toronto Pearson airport to get flight of WO0640 Swoop to have vacation 4 days to Cancun. First they told us your flight has 4 hours delay but They changed it to five hours delay, the thing is almost all other flights were on time and only this flight had such a long delay? and finally after six hours delay (in total nine hours staying in the airport and crying my baby, finally we went to airplane to go to Cancun. But the nightmare started when we wanted to turn back to Toronto. Our flight time was for 10:10 PM (4th of march flight # WO0679 ) a few hours before flight time, I received an email from Red Tag company that your flight is cancelled and is changed to 4:45 AM then a few hours after that I received a second email directly from Swoop that your flight is cancelled and changed to 2:15 AM. So around 12 o’clock in the midnight we went there, but there was no agent or front desk agent of Swoop and not even anybody to answer our questions. Finally a airport security who helped us told me your flight has 25 hours delay and you should go and turn back tomorrow night at 11 PM We got a taxi to find a hotel for us but all the hotels are full, after finding no hotel he was driving and taking us to a very dangerous looking place in the middle of a jungle but I asked the driver turn back to the middle of the city. He dropped off us with our luggage and are backpacks and three years old baby crying all the time in the middle of the city. We were searching for a hotel which all of our packages up to 7 AM. Finally around 7:30 we could find a hotel . From other hand at 10 o’clock in the morning of Toronto I had 27 students because my business is teaching art in only Sunday and Monday. So I lost a big part of my income in that day. The comedy part of this nightmare was the compensation of Swoop, when we wanted to turn back to Canada at 11 PM (5th of march) they gave us a $20 meal coupon only. I and all of my family will never ever, and in any situation will travel with this airline in the future. Worst experience, round-trip.",1,1,swoop,"Worst experience, round-trip",Family Leisure,Trip Verified,1,0,eb963fe9-68da-48dd-b825-749d717ac683,Airbus,Cancun,Toronto,0,0,0
105679,Swoop,Economy Class,2023-12-31,2023-03-09,0,0,2,Canada,1.0,no,I had booked a round trip from Toronto to Edmonton 4 months before my trip. I was supposed to leave March 10th 2023 except both of my flights were cancelled. I had no emails from them for confirmation and no help when trying to contact them for months to make sure my trip was still as planned. 4 days prior to me leaving I finally found my reservation number through a screen shot I took luckily. I looked up my flight and both were cancelled. There were no other alternative flights available and the flights with other airlines were now $1000 and up. Originally my flight was $200.00 for 3 days. So there was no way I was doing that. The only way to contact them is by email and Facebook messenger. I emailed them many times over those 4 months asking for my itinerary and no response. I was so upset that I was unable to contact anyone to have an option to change my flight times and now I’m missing my best friend picking out her wedding dress. They’re extremely unprofessional and ridiculously hard to contact. I’ll never book swoop again. Insanely unprofessional. Worst airline ever.,0,0,swoop,Insanely unprofessional,Solo Leisure,Trip Verified,1,0,5ac79e52-7e5a-4852-b142-008197688120,Boeing,Toronto,Edmonton,0,0,0
105680,Swoop,Economy Class,2023-12-31,2023-03-07,0,0,1,Canada,1.0,no,"Took Swoop in Jan 2023 on a domestic trip Victoria to Toronto with 3 flight delays arriving more than 6 hours later than planned. On my return trip home in March the flight was canceled two days in a row with only offering WestJet options with layovers when the flight was initially direct. Customer service is appalling, no compensation for lost wages, hotels, etc. for having to wait 3 days to travel. Will not be flying with them again.",1,1,swoop,not be flying with them again,Solo Leisure,Trip Verified,1,0,01016ae3-a47b-40cb-98d2-f4040e35e52d,Airbus,Victoria,Toronto,0,0,0
105681,Swoop,Economy Class,2023-12-31,2023-03-06,0,0,1,Canada,1.0,no,"Terrible people skills from flight attendants - they were very rude and confrontational. Multiple delays to flight. Seemed to cut corners to save time, instead of checking that all carry on items were stowed under seats, they made an announcement saying they don't have time so please stow your things. Same for seatbelts.",1,1,swoop,rude and confrontational,Family Leisure,Trip Verified,1,0,808ea60b-38f8-40aa-a153-936268864222,Boeing,Abbotsford,Winnipeg,0,0,0
105682,Swoop,Economy Class,2023-12-31,2023-03-06,0,0,2,Canada,1.0,no,"After 4 delays on the way to Edmonton, we waited in the plane 20 minutes. When we got to Edmonton we sat waiting for the crew to show up for 15 minutes at 4:00, instead of scheduled 12:25 arrival. Then the return trip March 5/23, 2 delayed then load, de ice, wiper issue, then back to airport, deplane and finally cancelled. No accommodation offered, No offer to get you on another flight, you’re on your own and then ticket prices tripled within an hour for the next flight. They don't care about customers at all.",2,4,swoop,don't care about customers at all,Couple Leisure,Trip Verified,5,0,00f60374-c1b4-48e9-a49b-e73c724fe9a2,Boeing,Phoenix,Edmonton,0,0,0
105683,Swoop,Economy Class,2023-12-31,2023-03-05,0,0,1,Canada,1.0,no,"This airline company should not exist. Never tried it before and will never use it again. There is no phone# to call. The email or messenger has no value as no one will respond. Our flight got rescheduled 4 times and last night was changed again and our last day of our vacations has been a disaster. All day in airport and we are supposed to leave at 11.15pm and arrive maybe at 3am, originally scheduled to arrive by 7.30pm. There is no consideration from this company to any customer.",1,1,swoop,flight rescheduled 4 times,Family Leisure,Trip Verified,1,0,200018ab-cabc-4d11-9d55-eb52214637e9,Boeing,Cancun,Hamilton,0,0,0
105684,Swoop,Economy Class,2023-12-31,2023-03-05,1,1,1,Canada,1.0,no,"Lord, what a terrible experience we have had with Swoop! They cancelled our flight at the last minute leaving us stranded. Now, I realize this is an ultra low cost airline and it serves us right to have succumbed to the lure of saving 50 bucks but this is preposterous - it seems, there are no human beings that work for this airline! None! This might work when things go OK, but when things bad it's a nightmare. I won't go through the whole ugly process of finally getting to PV or the downstream effects on things like car rentals and Airbnb rentals etc., but I will encourage you to NOT entrust your vacation to this bizarre enterprise.",1,1,swoop,what a terrible experience,Family Leisure,Trip Verified,1,1,4a2ffb3c-8392-4133-8897-fb7da2db6843,Boeing,Toronto,Puerto Vallarta,0,0,0
105685,Swoop,Economy Class,2023-12-31,2023-03-03,0,0,0,Canada,1.0,no,"Believe everything that you have read. Swoop is absolutely by far the worst airline I have had the misfortune of booking with. The flight was cancelled due to ‘weather’ when it was going to be/ was a perfectly lovely day. The snow from the previous day was not bad, stopped before 7 am, the flight was scheduled for 6:40 PM. While an email did arrive almost 24 hrs in advance there was no opportunity to get in touch with someone. I stayed on the chat for over 2 hours. Their auto-assistant chat did not even have an annoying pop up saying that an agent would be with you, every 15 mins I wrote in chat to see if it was open. I did not get through to support. I submitted a refund request, with ironically said it would be reviewed by customer service. Seeing as multiple people have alluded to, this seemed ominous given there was NO customer service or human beings that you can actually contact. No emails as everyone has noted, you pay for everything on this airline more than with the bigger brand carriers. I now see why they are able to charge so little, they cancel many flights, re- book a small percentage of passengers from multiple flights and do not credit or refund you, they are impossible to get to.",0,0,swoop,by far the worst airline,Solo Leisure,Not Verified,1,0,bf303403-924b-4f88-9a6c-34fad42135e4,Airbus,Moncton,Toronto,0,0,0
105686,Swoop,Economy Class,2023-12-31,2023-03-01,0,0,1,Canada,2.0,no,9 hour flight delay without any explanation or notification. Had to sit in the airport and wait all day. Could not speak to anyone from Swoop and online chat said someone would respond within 48 hrs. Brutal,2,2,swoop,9 hour flight delay,Couple Leisure,Trip Verified,1,0,e1e9ea77-4dcf-41b6-8b6c-508a3cf64996,Airbus,Toronto via Varadero,,0,0,0
105687,Swoop,Economy Class,2022-12-31,2023-02-26,1,2,1,Canada,1.0,no,"March 9, 2022 I booked 5 flights for myself and my family with Swoop from Toronto to Orlando for a family vacation. The flight was on Saturday May 21, 2022. The flight got delayed numerous times that day and ultimately got cancelled. That same day Swoop emailed passengers with the following message: ""You may also submit a hotel receipt for reimbursement up to $250CAD. Please email your receipt to",2,3,swoop,I’m not sure if Swoop intends to repay us,Family Leisure,Trip Verified,2,2,1a825331-c56c-4154-b0b1-b787317ce12e,Airbus,Toronto,Orlando ,0,0,0
105688,Swoop,Economy Class,2023-12-31,2023-02-25,1,1,1,Jamaica,1.0,no,"Do not book a flight with Swoop! They are so unhelpful. I booked a flight from Montego Bay to Toronto. I went through security, and the flight was delayed several times until it was cancelled. We all waited around for so long and there were no swoop representatives to help us or direct us in any way. We just kept searching for hours for anyone to help us. There were no announcements made about the cancellation either. We all found out through email. After many hours, we were let out of the airport and had to find places to stay, pay for them (with no compensation at all from Swoop), and told that they would email us when our rescheduled flight would be. We eventually got rescheduled for 9AM the next day and ended up actually departing around 10:30 AM. Once we arrived in Canada, there was a delay for the plane to arrive to the gate and our luggage was extremely delayed. Again, there were no swoop representatives to help us. No announcements were made about the luggage either. Almost 2 hours after landing, I finally was able to find my bag. I have since reached out to Swoop through their FB 'customer service'. They have told me that there will be no compensation through them because they said the cancellation was uncontrollable, but in reality, we were told that the airline couldn't leave because when they arrived in Jamaica, the crew was over their time. This is so unacceptable and ridiculous. You also have to pay separately for your bags and if you want any food or drinks on the plane. It's marketed as an ultra low budget airline, but it is not worth it. You end up spending more due to all their inconveniences. Book with a better airline.",2,1,swoop,Book with a better airline,Solo Leisure,Not Verified,1,1,6b0027db-5355-442b-b3a7-71774c488a81,Airbus,Montego Bay,Toronto,0,0,0
105689,Swoop,Economy Class,2023-12-31,2023-02-24,0,0,1,Canada,1.0,no,"Our flight was leaving from Toronto to Cancun at 6am so we had be there 2 hours early for check in we live 4-5 hours away from airport so we drove all night without sleeping, they checked us and boarded the plane FULL. Told us were waiting for luggage to load, about an hour later captain says he is canceling flight everyone off plane. Swoop has no answers or refunds or other flights to offer anyone on the plane so most of us just kind of stuck here. No other flights heading to Cancun until the next night - basically ruined my trip. My hotel was cancelled as it was an all inclusive trip, flight and hotel. Swoop has the worst customer service couldn't get thru to them online, by phone and even the representative at counter had no answers for all these angry travelers. Do yourself a favor and DO NOT BOOK WITH SWOOP.",1,1,swoop,worst customer service,Couple Leisure,Not Verified,1,0,af412e2b-429c-48a3-af4b-911cd13ebc21,Boeing,Toronto,Cancun,0,0,0
105690,Swoop,Economy Class,2023-12-31,2023-02-23,0,0,1,Canada,1.0,no,"Absolute nightmare. They cancelled my 7am departing flight at 1am when I was sleeping. Wake up to the automated email notifying me they have automatically rebooked me on the same flight the next day. This doesn’t work for me. Their chat is unavailable overnight so can’t get a hold of anyone. Finally make it to my destination 9 hours later than supposed to after a whirlwind of a morning, rescheduling hotel, rental cars, split off from the individuals I was travelling with, and a direct flight from TO to Kelowna now takes me to Vancouver then Kelowna. The extra leg room and baggage I purchased with Swoop does not transfer over to my WestJet flight and there are no upgrade seats even available for me to purchase with WestJet. If I thought this couldn’t get any worse the same thing happens a few days later on my return flight! Same exact 1am email for a 7.30am flight! I swear they were both automated and cancelled because the flights were not full. Again no support. I eventually arrive at my home destination 18 hours after originally expected, again with a layover. Miss Superbowl with my family and friends and an extra day of work. I reach out to Swoop regarding compensation and they denied it. They were unsupportive throughout the entire process and I am not exaggerating when I say this was a living hell to experience. All I can say is thank god I was not travelling with small children at the time. I will never fly swoop again. I will always pay the extra dollar moving forward if it means I can just call someone on the phone. Swoop does not have a phone line and will take sometimes 45 minutes to an hour to respond to a simple question for help! Save your sanity and don’t fly Swoop. These guys need to be put out of business they are a joke of an operation.",1,1,swoop,They were unsupportive throughout the entire process,Solo Leisure,Trip Verified,1,0,20e3c6a6-a53e-4d7f-b6ec-6454509896a0,Boeing,Totonto,Kelowna,0,0,0
105691,Swoop,Economy Class,2023-12-31,2023-02-22,0,1,1,Canada,1.0,no,"I had heard mixed reviews on Swoop but decided to give them a try, I bought round trip flights from Abbotsford to Puerto Vallarta. The flights were reasonable but they ding you on everything else. You are required to pay 60+ dollars for a carry on AND 70+ for your checked baggage, then you also need to pay for seat selection. So, when all is said and done you’re paying the exact same as a non-budget airline. That’s not even the worst part, our flight was delayed on our trip down, which was inconvenient but we figured things happen. Then the evening before our return flight going home we got a notice that our flight was delayed again, we sat in the airport all day and our flight was delayed a total of 5 times. Just as our extremely delayed flight was supposed to be boarding, a flight attendant deplanes and announced our flight was cancelled because the staff was “too tired”. Now I understand a long day, but then there was no follow up on what we were all to do. She said we would receive an email with instructions and that was it. There was no customer support or anyone willing to assist all the stranded travellers. Every single passenger had to scramble to find themselves a hotel for the night at 9:00pm with zero help or care from Swoop. The promised email was not sent until 2:30am, stating our flight was now going to be leaving at 8:30am if I had not been up and waiting for said email we wouldn’t be getting home. Once we arrived at the airport, we were greeted with more staff and flight delays.",1,1,swoop,There was no customer support,Couple Leisure,Trip Verified,1,1,cd98ddb5-9350-4d3b-bd87-cde76e6fa40c,Boeing,Puerto Vallarta,Abbotsford,1,0,0
105692,Swoop,Economy Class,2023-12-31,2023-02-19,1,1,1,Canada,1.0,no,"Worst experience ever, I wouldn’t recommend this airline to anyone. Flight was delayed both ways for hours. No food. Everything takes forever. They charge extra for everything so it makes just as expensive as any other airline.",1,2,swoop,Worst experience ever,Couple Leisure,Trip Verified,1,1,059cdfcf-4133-4abd-bf79-f1dfd973ab2d,Boeing,Cancun,Toronto,0,0,0
105693,Swoop,Economy Class,2023-12-31,2023-02-17,1,1,1,Canada,1.0,no,"Got to London no issues, flight on time, weather perfect in both locations. 100pm they cancelled our 120pm flight. Set it back up for the next morning at 7. Reason being they set the flight times to late and they can't get us through Sanford customs before 5pm when they close. I see I'm not the first person to have this review. They won't do anything about expenses in Florida or the lost time for the travel day in London. Gate staff were good but just minimum wage employees that have just about as much info as we have. In the shop and I don't care about the flight quality or leg room because if you can't even set up a flight schedule that works I don't have a lot of faith in anything else you can do. Swoop is a joke.",1,1,swoop,Swoop is a joke,Solo Leisure,Trip Verified,1,1,23e13744-9438-4540-90d7-8bc99039a217,Airbus,London,Sanford,1,0,0
105694,Swoop,Economy Class,2023-12-31,2023-02-12,0,0,1,Canada,1.0,no,Terrible. Flight cancelled 10 mins before take-off. A problem we find out is very common because they have no clout to keep US customs open 20 mins late in Orlando. They just see this as a minor inconvenience to customers. Flight staff flew the plane back empty. Now sure how that helps with the low cost model. Customer service is non existent. Apparently there’s no chance of refund. Everyone at the gate complaining of frequent cancellations. Do not book if you need your plane to take off with you on it. Will never book Swoop or WestJet again.,1,1,swoop,Customer service is non existent,Family Leisure,Trip Verified,1,0,299741f1-92d8-4c65-aa0e-1483b4df741d,Boeing,London Ont,Orlando,0,0,0
